part_number,description,cost
SXWSCDPSELXB,"Cover,Touchscreen,Occ,Optm Blk",412.65
SXWSCDPSELXW,"Cover,Touchscreen,Occ,Optm Wht",412.65
SXWSCDXSELXB,"Cover,Touchscreen,Optm Blk",204.72
SXWSCDXSELXW,"Cover,Touchscreen,Optm Wht",196.65
CP-AI-C2-SE,CP - CO2 Sensor- Duct,311
CP-AI-TH-SE-6200,CP - Duct Temp 10KT3 & Humidity Sensor,214
CP-AI-TH-SE-1200,CP - Duct Temp Xmtr & Humidity Sensor,251
CP-AI-TH-SE-5200,CP - Duct Temperature & Humidity Sensor,214
CP-AI-CO-SE,CP- CO Sensor- wall mounted,317
SXWRPCCONWWLIGHT,CRS Connector for DALI (100ea),1315.52
SXWRPCCONWDI,CRS Connector for DI (100ea),887.26
SXWRPCCONWBLHV,CRS Connector for HV Blind o/p (50ea),631.35
SXWRPCCONWWLIGHT2,CRS Connector for lights 0-10V (100ea),1315.52
SXWRPCCONWWLIGHTPD,CRS Connector for lights with PD (50ea),1529.63
SXWRPCCONWWPOW,CRS Connector for power input (100ea),1835.57
SXWRPCCONWWREL,CRS Connector for relay output (100ea,1442.33
SE8350U0B11,CTRL LV FCU RH BN W/WH,513.18
SXWREDAMPD10001,DALI Dimming module with power distribut,696.74
SXWREDALI110001,DALI Dimming module without power distri,542.31
SXWDI16XX10001,DI-16 16 DIGITAL IN,238.42
4701140,Diff Press Switch 1 to 3 bar,363.28
4701110,Diff Press Switch 15 to 60mbar,363.28
4701150,Diff Press Switch 2.5to 5.5bar,363.28
4701120,Diff Press Switch 40to 200mbar,363.28
4701130,Diff Press Switch150to1000mbar,363.28
CP-LI-DP-TR-1600,"Diff Wet Press Transmitter, 0-16bar",510.33
CP-LI-DP-TR-0600,"Diff Wet Press Transmitter, 0-6bar",488.16
6552059000,Diff.Pr.Wat.0-0.5b di907001161,1172.12
6552061000,Diff/Pr.Wat.0-1.6b di914001161,1227.85
6552065000,Diff/Pr.Wat.0-10b di930001161,1172.12
6552060000,Diff/Pr.Wat0-1bar di912001161,1172.12
6552047000,Diff/Pr.Water0-0.5bar907001161,797.62
6552049000,Diff/Pr.Water0-1.6bar914001161,797.62
6552053000,Diff/Pr.Water0-10bar930001161,877.37
6552054000,Diff/Pr.Water0-16bar931001161,1348.89
6552048000,Diff/Pr.Water0-1bar912001161,797.62
6552062000,Diff/Pr.Water0-2.5b d916001161,1346.57
6552050000,Diff/Pr.Water0-2.5bar916001161,797.62
6552063000,Diff/Pr.Water0-4b di918001161,1227.85
6552051000,Diff/Pr.Water0-4bar 918001161,877.37
6552064000,Diff/Pr.Water0-6b di919001161,1172.12
6552052000,Diff/Pr.Water0-6bar 919001161,877.37
SP90-24BMM-0,"Digital actuator, 24 V",464.97
SXWDINEND10001,DIN-RAIL END CLIP 25 PCS,116.22
9114071000-0,DN125 to DN150 Handle,174.02
9114072000-0,DN200 to DN250 Handle,193.11
9114070000-0,DN40 to DN100 Handle,29.46
SXWDOA12X10001,DO-FA-12 12 DIG OUT FORM A,349.66
SXWDOA12H10001,DO-FA-12-H 12 DO FORM A HAND,499.25
SXWDOC8XX10001,DO-FC-8 8 DIG OUT FORM C,308.26
SXWDOC8HX10001,DO-FC-8-H 8 DO FORM C HAND,455.22
5152304000,DUCT CO2 & HUM TRANS VISTA,675.96
5152316000,DUCT CO2 TRANS CONT.,697.36
5152318000,DUCT CO2 TRANS LCD CONT.,848.65
5152302000,DUCT CO2 TRANS LCD VISTA,848.65
5152300000,DUCT CO2 TRANS VISTA,697.36
5152306000,DUCT CO2&HUM TRANS LCD VISTA,895.04
S2020E1000,DUCT MOUNTED SENSOR,116.65
SPMDP,DUCT PM SENSOR ANALOG,501.83
6902331,DuctHumidity &Temperature SensorSHD100-T,488.92
SLEASXXXB,EasyLogic Living Space T Sensor Blank,34.34
SLEASLXXB,EasyLogic Living Space T Sensor Display,103
SXWSWSDRVX0001,EBO SmartDriver - SmartX,820.8
SXWSWSNMPX0001,EBO SNMP Alarming - SmartX,656.69
SXWSWEWSXX0003,EBO WS EWS C+S+Hist - SmartX,7221.33
SXWSWEWSXX0002,EBO WS EWS C+Serve - SmartX,2461.86
SXWSWEWSXX0001,EBO WS EWS Consume - SmartX,492.5
SXWSWGWSXX0001,EBO WS Gen Consume - SmartX,63.19
SXWSWESECL0003,EC Hosting ES - 3 for Linux,23012.28
