part_number,description,cost
FLO-QSE15BSP09Q3XA,"Noryl, Mag Flow meter, Display, pulse +",3596.07
FLO-QSE15NPT09Q3XA,"Noryl, Mag Flow meter, Display, pulse +",3596.07
FLO-QSE20BSP09Q3XA,"Noryl, Mag Flow meter, Display, pulse +",3596.07
FLO-QSE20NPT09Q3XA,"Noryl, Mag Flow meter, Display, pulse +",3596.07
FLO-QSE40FAP09Q3XC,"Noryl, Mag Flow meter, Display, pulse +",4353.02
FLO-02N12LM,"Nylon flow meter, digital pulse, 1-inch",681.45
FLO-02N31GM,"Nylon flow meter, digital pulse, 1-inch",681.45
6553070000,Occupancy sensor PIR-TFT-550-B,161.19
SPMOP,OUTDOOR PM SENSOR ANALOG,517.03
5141104010,Outdoor Temp Sensor STO500,45.24
5141100010,OUTDOOR TEMPERATURE SENSOR,45.24
SXWSWDASH00001,Personal Dashboards,2461.86
SXWSWDASHX0001,Personal Dashboards - SmartX,1313.07
5123160010,PIPE TEMPERATURE SENSOR,65.81
COV-PIR-FCU-C-5031,PIR COVER - VT7300 COMMERCIAL NoLogo,131.45
COV-PIR-FCU-L-5031,PIR COVER - VT7300 HOTEL NO LO,131.45
9121041000,Pocket STP 100mm Brass,16.21
9121051000,Pocket STP 100mm Stainl.steel,29.89
9121042000,Pocket STP 150mm Brass,16.84
9121043000,Pocket STP 200mm Brass,19.37
9121053000,Pocket STP 200mm Stainl.steel,31.98
9121044000,Pocket STP 250mm Brass,20.21
9121054000,Pocket STP 250mm Stainl.steel,36.18
9121045000,Pocket STP 300mm Brass,21.46
9121055000,Pocket STP 300mm Stainl.steel,34.49
9121046000,Pocket STP 400mm Brass,25.25
9121056000,Pocket STP 400mm Stainl.steel,37.03
9121040000,Pocket STP 50mm Brass,15.99
9121050000,Pocket STP 50mm Stainl.steel,25.6
6553055000,Presens sensor 24vac Roofmount,240.47
EPD302,PRESSURE-VEL DRY DUCT 10IN,346.61
EPD301,PRESSURE-VEL DRY DUCT 1IN,331.59
EPD302LCD,PRESSURE-VEL DRY DUCT LCD 10IN,321.56
EPD301LCD,PRESSURE-VEL DRY DUCT LCD 1IN,321.56
EPP302,PRESSURE-VEL DRY PANEL 10IN,281.39
PX3PXN02,PRESSURE-VEL DRY PANEL 10IN,301.07
EPP301,PRESSURE-VEL DRY PANEL 1IN,281.39
PX3PXN01,PRESSURE-VEL DRY PANEL 1IN,293.73
EPP302LCD,PRESSURE-VEL DRY PANEL LCD 10I,365.76
EPP301LCD,PRESSURE-VEL DRY PANEL LCD 1IN,365.76
EPU305,PRESSURE-VEL DRY UNIV 10IN,427.88
EPU305LCD,PRESSURE-VEL DRY UNIV LCD 10IN,405.5
SXWPS24VX10001,PS-24V POWER SUPPLY 24VAC/VDC,165.9
SXWSWCMPLPKL01,Regulated Ind Compliance Pack for Linux,9309.78
SXWREREL410001,Relay Module without power distribution,621.34
SXWRERCBLE10001,Remote Control,431.05
S3010W1031,ROOM SENSOR - VT7000,69.01
S3020W1031,ROOM SENSOR+OVERRIDE - VT7000,63.41
4600100,Room zone sensor STR 100,34.76
SXWRPCCOV10001,RP-C External Terminal Covers,30.8
SXWRCF12A10002,RP-C-12A-F-24V,609.92
SXWRCF12AM10001,RP-C-12A-M-24V CONTROLLER,399.01
SXWRCF12B10002,RP-C-12B-F-24V,609.92
SXWRCF12BM10001,RP-C-12B-M-24V CONTROLLER,399.01
SXWRCF12C10002,RP-C-12C-F-24V,609.92
SXWRCF16A10003,RP-C-16A-F-230V,807.15
SXWRCF16AM10001,RP-C-16A-M-24V CONTROLLER.,506.04
SXWRCF16B10002,RP-C-16B-F-230V,866.75
SXWRCF16B10001,RP-C-16B-F-24V,715.1
SXWRIOF12AM10001,RP-IO-12A-M-24V CONTROLLER,326.7
SXWRIOF16EM10001,RP-IO-16E-M-24V CONTROLLER,383.86
SXWRPV4A10001,RP-V-4A CONTROLLER,593.54
SXWRPV5A10001,RP-V-5A CONTROLLER,638.35
SXWRPV5CM10001,RP-V-5C-M CONTROLLER.,479.04
SXWRTD16X10001,RTD-DI-16 16 RTD AND DIG IN,556.88
SXWSWECSAML001,SAML Authentication - EC,1517.19
SXWSWESSAML001,SAML Authentication - ES,1517.19
SXWSWASSAML001,SAML Authentication - SmartX server,918.24
SXWSCABLE10003,S-CABLE 0.75M ANGLE,69.22
SXWSCABLE10002,S-CABLE 1.5 M ANGLE,125.28
SCD2XAXACX,SCD2 CO2 Sensor,495.27
SCD2XAXCCX,SCD2 CO2 Sensor,495.27
SCD2XAXHCX,SCD2 CO2 Sensor,495.27
SCD2XAXXVX,SCD2 CO2 Sensor,501.37
SCD2XPXAVX,SCD2 CO2 Sensor,580.88
SCD2XA2ACX,SCD2 CO2 Sensor,611.44
SCD2XA2CCX,SCD2 CO2 Sensor,611.44
SCD2XA2HCX,SCD2 CO2 Sensor,611.44
SCD2LPXXVX,SCD2 CO2 Sensor,623.67
SCD2LPXAVX,SCD2 CO2 Sensor,645.07
SCD2XP2AVX,SCD2 CO2 Sensor,739.84
SCD2LP2AVX,SCD2 CO2 Sensor,773.47
SCD2XPXAVP,SCD2 CO2 Sensor,868.24
SCD2LPXAVP,SCD2 CO2 Sensor,901.87
SCD2XP2AVP,SCD2 CO2 Sensor,1030.27
SCD2LP2AVP,SCD2 CO2 Sensor,1063.9
SXWASBCON10001,Screw terminals for AS-B/AS-BL.,56.89
SXWSWSTDBEUAC2,Semantic DB - External Use Plus Cores 2,15958.81
S2000D1000,SEN DUCT SP WITH JBOX,106.86
6902500,Sens Condensation SCP110,156.03
6902361,Sens R Humid.Out Door SHO100,476.84
6902371,Sens R Humid.Out Door SHO100-T,512.21
6920021,Sens Temp Cont STC300 -50/50,127.51
6920501,Sens Temp Outd STO300 -50/50,162
6554001000,Sens.humid.larm 24V NVP-35,265.07
6902401,SENS.R HUMID. OUTDOOR,537.83
5123060010,SENS.TEMP.AV.DUCT STD190 (5123,167.99
5515010150,Sensor air velocity GV 150,63.64
SXWSBTXXXSXX,"Sensor Base,Temp",105.31
SXWSBTXCXSXX,"Sensor Base,Temp,CO2",508.92
SXWSBTHXXSXX,"Sensor Base,Temp,Humidity",339.3
SXWSBTHCXSXX,"Sensor Base,Temp,Humidity,CO2",678.5
S1010D1000,SENSOR CHANGEOVER 10K,66.31
EBIOTPCWD,"Sensor Desk Occupancy, Wireless",138.42
5123010010,SENSOR DUCT STD100-250,41.91
5123014010,SENSOR DUCT STD100-400,42.79
4702080,Sensor Pres Wet SPP110-1000KPa,354.66
4702020,Sensor Pres Wet SPP110-100kPa,354.66
4702100,Sensor Pres Wet SPP110-1600kPa,354.66
4702120,Sensor Pres Wet SPP110-2500kPa,334.59
4702040,Sensor Pres Wet SPP110-250kP,354.66
4702140,Sensor Pres Wet SPP110-4000kPa,354.66
4702060,Sensor Pres Wet SPP110-600kPa,354.66
6902381,SENSOR R HUMIDI. DUCT SHD10-T5,513.22
6559016000,Sensor room CO2 aSENSE-Display,790.7
EBIOTPCWR,"Sensor Room Occupancy, Wireless",193.5
5123086010,Sensor Temp AvDuct STD591,167.99
5123306000,Sensor Temp Coil STX122-250,67.37
5123308000,Sensor Temp Coil STX122-400,77.54
5123202010,SENSOR TEMP CONTACT STC100,32.4
5123210000,Sensor Temp Contact STC110-200,26.17
5123212000,Sensor Temp Contact STC110-400,29.05
5123214000,Sensor Temp Contact STC120,41.7
5123206010,Sensor Temp Contact STC200,32.4
5123218010,Sensor Temp Contact STC500,32.4
5123220000,Sensor Temp Contact STC510-200,26.17
5123004010,Sensor Temp Duct STD100-100,43.93
5123006010,Sensor Temp Duct STD100-150,41.41
5123008010,Sensor Temp Duct STD100-200,41.7
5123012010,Sensor Temp Duct STD100-300,41.91
5123002010,Sensor Temp Duct STD100-50,40.76
5123058000,SENSOR TEMP DUCT STD150 (51230,32.78
5123036010,Sensor Temp Duct STD200-200,41.7
5123038010,Sensor Temp Duct STD200-250,41.91
5123074010,Sensor Temp Duct STD500-150,63.07
5123078010,Sensor Temp Duct STD500-250,41.91
5123082010,Sensor Temp Duct STD500-400,42.79
5123084000,Sensor Temp Duct STD550,26.17
5126040000,SENSOR TEMP DUCT STD670,32.16
5126030000,SENSOR TEMP DUCT TELESC STD660,69.86
4600110,Sensor temp habitacion STR100-W,34.76
5123302000,Sensor Temp Imer. STX120-200,22.66
5123304000,Sensor Temp Imer. STX120-400,28.39
5123320000,Sensor Temp Imer.STX520-200,22.66
5123322000,Sensor Temp Imer.STX520-400,28.39
5123106010,Sensor Temp Pipe STP100-150,43.23
5123108010,Sensor Temp Pipe STP100-200,40.41
5123110010,Sensor Temp Pipe STP100-250,40.76
5123112010,Sensor Temp Pipe STP100-300,41.04
5123114010,Sensor Temp Pipe STP100-400,41.7
5123102010,Sensor Temp Pipe STP100-50,39.69
5123162010,Sensor Temp Pipe STP120-220,77.57
5123158010,SENSOR TEMP PIPE STP120-70,67.75
5123132010,Sensor Temp Pipe STP200-100,40.12
5123134010,Sensor Temp Pipe STP200-150,40.41
5123136010,Sensor Temp Pipe STP200-200,40.41
5123138010,Sensor Temp Pipe STP200-250,44.83
5123140010,Sensor Temp Pipe STP200-300,41.04
5123142010,Sensor Temp Pipe STP200-400,41.7
5123130010,Sensor Temp Pipe STP200-50,39.69
5123172000,SENSOR TEMP PIPE STP500-100,39.18
5123176010,Sensor Temp Pipe STP500-200,43.23
5123180010,Sensor temp Pipe STP500-300,41.04
5123182000,SENSOR TEMP PIPE STP500-400,45.12
5123170010,Sensor Temp Pipe STP500-50,55.91
4600300,Sensor temp room STR102,75.09
4600700,Sensor temp room STR103,75.31
4600400,Sensor temp room STR104,82.1
4600500,Sensor temp room STR106,97.85
4600900,Sensor temp room STR106-3,97.86
4600800,Sensor temp room STR106-B,97.85
4600600,Sensor temp room STR107,97.86
4602800,Sensor temp room STR150,111.78
4603300,Sensor temp room STR250,111.43
4605000,Sensor temp room STR350,191.19
4606200,Sensor temp room STR504,82.1
EBIOTPCWE1,"Sensor, IAQ, Light, Noise, Wireless",537.07
EBIOTPCWE2,"Sensor, IAQ, PM, Light, Noise, Wireless",650.3
SLASXCX,"Sensor,CO2,Analog",345.18
SLABXCX,"Sensor,CO2,Analog,Optm Bk",247.72
SLAWXCX,"Sensor,CO2,Analog,Optm Wh",356
SLPSXCX,"Sensor,CO2,BAC/MB",356
SLPBXCX,"Sensor,CO2,BAC/MB,Optm Bk",366.85
SLPWXCX,"Sensor,CO2,BAC/MB,Optm Wh",366.85
SLASLCX,"Sensor,CO2,LCD,Analog",366.85
SLABLCX,"Sensor,CO2,LCD,Analog,Optm Bk",391.04
SLAWLCX,"Sensor,CO2,LCD,Analog,Optm Wh",391.04
SLPSLCX,"Sensor,CO2,LCD,BAC/MB",377.59
SLPBLCX,"Sensor,CO2,LCD,BAC/MB,Optm Bk",401.89
SLPWLCX,"Sensor,CO2,LCD,BAC/MB,Optm Wh",401.89
SLASXC2,"Sensor,CO2,RH,Analog",377.59
SLABXC2,"Sensor,CO2,RH,Analog,Optm Bk",391.04
SLAWXC2,"Sensor,CO2,RH,Analog,Optm Wh",391.04
SLPSXC2,"Sensor,CO2,RH,BAC/MB",391.04
SLPBXC2,"Sensor,CO2,RH,BAC/MB,Optm Bk",401.89
SLPWXC2,"Sensor,CO2,RH,BAC/MB,Optm Wh",401.89
SLASLC2,"Sensor,CO2,RH,LCD,Analog",412.65
SLABLC2,"Sensor,CO2,RH,LCD,Analog,Optm Bk",436.91
SLAWLC2,"Sensor,CO2,RH,LCD,Analog,Optm Wh",436.85
SLPSLC2,"Sensor,CO2,RH,LCD,BAC/MB",423.39
SLPBLC2,"Sensor,CO2,RH,LCD,BAC/MB,Optm Bk",447.68
SLPWLC2,"Sensor,CO2,RH,LCD,BAC/MB,Optm Wh",447.68
SLASTC2,"Sensor,CO2,RH,Touch,Analog",469.27
SLABTC2,"Sensor,CO2,RH,Touch,Analog,Optm Bk",525.93
SLAWTC2,"Sensor,CO2,RH,Touch,Analog,Optm Wh",525.93
SLPSTC2,"Sensor,CO2,RH,Touch,BAC/MB",482.67
SLPBTC2,"Sensor,CO2,RH,Touch,BAC/MB,Optm Bk",536.7
SLPWTC2,"Sensor,CO2,RH,Touch,BAC/MB,Optm Wh",536.7
SLASTCX,"Sensor,CO2,Touch,Analog",423.39
SLABTCX,"Sensor,CO2,Touch,Analog,Optm Bk",480.04
SLAWTCX,"Sensor,CO2,Touch,Analog,Optm Wh",480.04
SLPSTCX,"Sensor,CO2,Touch,BAC/MB",436.85
SLPBTCX,"Sensor,CO2,Touch,BAC/MB,Optm Bk",490.77
SLPWTCX,"Sensor,CO2,Touch,BAC/MB,Optm Wh",490.77
SLASXCVX,"Sensor,CO2,VOC,Analog",366.85
SLABXCVX,"Sensor,CO2,VOC,Analog,Optm Bk",377.59
SLAWXCVX,"Sensor,CO2,VOC,Analog,Optm Wh",377.59
SLPSXCVX,"Sensor,CO2,VOC,BAC/MB",377.59
SLPBXCVX,"Sensor,CO2,VOC,BAC/MB,Optm Bk",391.04
SLPWXCVX,"Sensor,CO2,VOC,BAC/MB,Optm Wh",391.04
SLABLCVX,"Sensor,CO2,VOC,LCD,Analog,Optm Bk",423.39
SLAWLCVX,"Sensor,CO2,VOC,LCD,Analog,Optm Wh",423.39
SLPSLCVX,"Sensor,CO2,VOC,LCD,BAC/MB",412.65
SLPBLCVX,"Sensor,CO2,VOC,LCD,BAC/MB,Optm Bk",436.85
SLPWLCVX,"Sensor,CO2,VOC,LCD,BAC/MB,Optm Wh",436.85
SLASXCV2,"Sensor,CO2,VOC,RH,Analog",423.39
SLABXCV2,"Sensor,CO2,VOC,RH,Analog,Optm Bk",436.85
SLAWXCV2,"Sensor,CO2,VOC,RH,Analog,Optm Wh",436.85
SLPSXCV2,"Sensor,CO2,VOC,RH,BAC/MB",436.85
SLPBXCV2,"Sensor,CO2,VOC,RH,BAC/MB,Optm Bk",447.68
SLPWXCV2,"Sensor,CO2,VOC,RH,BAC/MB,Optm Wh",447.68
SLASLCV2,"Sensor,CO2,VOC,RH,LCD,Analog",401.89
SLABLCV2,"Sensor,CO2,VOC,RH,LCD,Analog,Optm Bk",469.27
SLAWLCV2,"Sensor,CO2,VOC,RH,LCD,Analog,Optm Wh",469.27
SLPBLCV2,"Sensor,CO2,VOC,RH,LCD,BAC/MB,Optm Bk",482.67
SLPWLCV2,"Sensor,CO2,VOC,RH,LCD,BAC/MB,Optm Wh",482.67
SLASTCV2,"Sensor,CO2,VOC,RH,Touch,Analog",504.21
SLABTCV2,"Sensor,CO2,VOC,RH,Touch,Analog,Optm Bk",558.26
SLAWTCV2,"Sensor,CO2,VOC,RH,Touch,Analog,Optm Wh",558.26
SLPSTCV2,"Sensor,CO2,VOC,RH,Touch,BAC/MB",515.06
SLPBTCV2,"Sensor,CO2,VOC,RH,Touch,BAC/MB,Optm Bk",571.73
SLPWTCV2,"Sensor,CO2,VOC,RH,Touch,BAC/MB,Optm Wh",571.73
SLASTCVX,"Sensor,CO2,VOC,Touch,Analog",436.85
SLABTCVX,"Sensor,CO2,VOC,Touch,Analog,Optm Bk",490.77
SLAWTCVX,"Sensor,CO2,VOC,Touch,Analog,Optm Wh",490.77
SLPSTCVX,"Sensor,CO2,VOC,Touch,BAC/MB",447.68
SLPBTCVX,"Sensor,CO2,VOC,Touch,BAC/MB,Optm Bk",501.6
SLPWTCVX,"Sensor,CO2,VOC,Touch,BAC/MB,Optm Wh",501.6
SLABLXX,"Sensor,LCD,Analog,Optm Bk",195.27
SLAWLXX,"Sensor,LCD,Analog,Optm Wh",147.5
SLPSLXX,"Sensor,LCD,BAC/MB",135.18
SLPWLXX,"Sensor,LCD,BAC/MB,Optm Wh",150.23
SLASXX2,"Sensor,RH,Analog",194.26
SLAWXX2,"Sensor,RH,Analog,Optm Wh",207.8
SLPSXX2,"Sensor,RH,BAC/MB",207.8
SLPBXX2,"Sensor,RH,BAC/MB,Optm Bk",218.43
SLPWXX2,"Sensor,RH,BAC/MB,Optm Wh",218.43
SLASLX2,"Sensor,RH,LCD,Analog",229.2
SLABLX2,"Sensor,RH,LCD,Analog,Optm Bk",253.58
SLAWLX2,"Sensor,RH,LCD,Analog,Optm Wh",253.58
SLPSLX2,"Sensor,RH,LCD,BAC/MB",240.16
SLPBLX2,"Sensor,RH,LCD,BAC/MB,Optm Bk",264.32
SLPWLX2,"Sensor,RH,LCD,BAC/MB,Optm Wh",264.32
SLASTX2,"Sensor,RH,Touch,Analog",275.12
SLABTX2,"Sensor,RH,Touch,Analog,Optm Bk",307.51
SLAWTX2,"Sensor,RH,Touch,Analog,Optm Wh",307.51
SLPSTX2,"Sensor,RH,Touch,BAC/MB",285.95
SLPBTX2,"Sensor,RH,Touch,BAC/MB,Optm Bk",318.21
SLPWTX2,"Sensor,RH,Touch,BAC/MB,Optm Wh",318.21
SLASXXX,"Sensor,Temp,10KT3,No Comms,w/Cover",30.64
SXWSATXXXRXX,"Sensor,Temp,10KT3,No Comms,w/Cover",46.88
SLABXXX,"Sensor,Temp,10KT3,W/Optim Blk Cover",44.25
SLAWXXX,"Sensor,Temp,10KT3,W/Optim Wht Cover",41.77
SLPSXXX,"Sensor,Temp,BAC/MB",111.14
SLPBXXX,"Sensor,Temp,BAC/MB,Optm Bk",138.64
SLPWXXX,"Sensor,Temp,BAC/MB,Optm Wh",131.34
SXWSATXXXSLX,"Sensor,Temp,LCD,3 Button,w/Cover",139.24
SLASTXX,"Sensor,Touch,Analog",165.96
SLABTXX,"Sensor,Touch,Analog,Optm Bk",222.1
SLAWTXX,"Sensor,Touch,Analog,Optm Wht",222.02
SLPSTXX,"Sensor,Touch,BAC/MB",174.12
SLPBTXX,"Sensor,Touch,BAC/MB,Optm Bk",244.54
SLPWTXX,"Sensor,Touch,BAC/MB,Optm Wh",219.49
6920121,SensTempDuct STD300-300 -50/50,156.97
6920241,SensTempPipe STP300-1000/100,135.88
6920321,SensTempPipe STP300-200 0/160,138.87
6920281,SensTempPipe STP300-200 -50/50,138.87
6920361,SensTempPipe STP300-300 0/100,141.98
6920381,SensTempPipe STP300-300 0/160,141.98
6920341,SensTempPipe STP300-300 -50/50,141.98
6920421,SensTempPipe STP300-400 0/100,144.45
6920441,SensTempPipe STP300-400 0/160,144.45
6920401,SensTempPipe STP300-400 -50/50,144.45
6920721,SensTmpAvDct STD400-30 0/100,362.19
6920761,SensTmpAvDct STD400-60 0/100,468.92
6920921,SensTmpAvDct STD410-60 0/100,468.92
6920701,SensTmpAvDuc STD400-04 -50/50,362.19
9141023010,Shaft extesion AV8-25,101.56
SHD2XA2C,SHD2 ANALOG 2%RH 1000 PT RTD,450.8
SHD2XA2H,SHD2 ANALOG 2%RH 10K T3,450.8
SHD2XA2A,SHD2 ANALOG 2%RH TEMP Tx,450.8
SHO2XA2C,SHO2 ANALOG 2%RH 1000 PT RTD,475.08
SHO2XA2H,SHO2 ANALOG 2%RH 10K T3,475.08
SHO2XA2A,SHO2 ANALOG 2%RH TEMP Tx,475.08
MG600C-SRU,Short Yoke Forta Actuator 600N SRU,480.07
SXWSWSCDL100001,SMART CONNECTOR DEPLOYMENT LIC,845.36
TTS-SD-LCD-1,SMART SNSR LCD DISPLAY 10K OHM,196.4
SXWASPXXX10001,SMARTX CONTROLLER AS-P,2728.4
SXWRCF12A10001,SmartX Controller RP-C-12A-F-24V,609.9
SXWRCF12B10001,SmartX Controller RP-C-12B-F-24V,609.9
SXWASPXXX10002,SmartX Controller without LON AS-P-NL,1177
SXWMPC36A1S001,SmartX IP Controller MP-C-36A Smoke,1521
VP228E-10BQLNT,SMARTX PIBCV DN10 - LOW FLOW,115.67
VP228E-10BQSNT,SMARTX PIBCV DN10 - STD FLOW,112.7
VP220F-100CQH,SmartX PIBCV DN100 - High Flow,5615.88
VP220F-100CQH-0,SmartX PIBCV DN100 - HIGH FLOW,5391.21
VP220F-100CQS,SMARTX PIBCV DN100 - STD FLOW,3903.96
VP220F-100CQS-0,SmartX PIBCV DN100 - STD FLOW,3903.96
VP228E-10BQL,SMARTX PIBCV DN10-LOW FLOW+PT,134.32
VP228E-10BQL-0,SmartX PIBCV DN10-LOW FLOW+PT,134.32
VP228E-10BQS,SMARTX PIBCV DN10-STD FLOW+PT,130.87
VP228E-10BQS-0,SmartX PIBCV DN10-STD FLOW+PT,130.87
VP221F-125CQH,SMARTX PIBCV DN125 - HIGH FLOW,9287.42
VP221F-125CQH-0,SmartX PIBCV DN125 - HIGH FLOW,9287.42
VP221F-125CQS-0,SmartX PIBCV DN125-STD FLOW,6575.62
VP221F-125CQS,SMARTX PIBCV DN125-STD FLOW,7364.74
VP229E-15BQHNT,SMARTX PIBCV DN15 - HIGH FLOW,183.03
VP229E-15BQHNT-0,SmartX PIBCV DN15 - HIGH FLOW,183.03
VP228E-15BQSNT-0,SmartX PIBCV DN15 - STD FLOW,120.83
VP228E-15BQSNT,SMARTX PIBCV DN15 - STD FLOW,138.97
VP228E-15BQLNT,SMARTX PIBCV DN15- LOW FLOW,119.64
VP221F-150CQH-0,SmartX PIBCV DN150 - HIGH FLOW,12189.76
VP221F-150CQH,SMARTX PIBCV DN150 - HIGH FLOW,13408.81
VP221F-150CQS,SMARTX PIBCV DN150 - STD FLOW,9885.02
VP221F-150CQS-0,SmartX PIBCV DN150 - STD FLOW,9885.02
VP228E-15BQL,SMARTX PIBCV DN15-LOW FLOW+PT,139.28
VP228E-15BQL-0,SmartX PIBCV DN15-LOW FLOW+PT,139.28
VP228E-15BQS,SMARTX PIBCV DN15-STD FLOW+PT,139.28
VP228E-15BQS-0,SmartX PIBCV DN15-STD FLOW+PT,139.28
VP229E-20BQHNT-0,SmartX PIBCV DN20 - HIGH FLOW,204.43
VP228E-20BQSNT-0,SmartX PIBCV DN20 - STD FLOW,132.72
VP222F-200CQH,SMARTX PIBCV DN200 - HIGH FLOW,16833.41
VP222F-200CQH-0,SmartX PIBCV DN200 - HIGH FLOW,16833.41
VP222F-200CQS-0,SmartX PIBCV DN200 - STD FLOW,14221.34
VP222F-200CQS,SMARTX PIBCV DN200 - STD FLOW,16354.54
VP228E-20BQS-0,SmartX PIBCV DN20-STD FLOW+PT,152.77
VP228E-20BQS,SMARTX PIBCV DN20-STD FLOW+PT,163.51
VP229E-25BQHNT,SMARTX PIBCV DN25 - HIGH FLOW,309.55
VP229E-25BQHNT-0,SmartX PIBCV DN25 - HIGH FLOW,309.55
VP229E-25BQSNT,SMARTX PIBCV DN25 - STD FLOW,230.17
VP229E-25BQSNT-0,SmartX PIBCV DN25 - STD FLOW,230.17
VP222F-250CQH,SMARTX PIBCV DN250 - HIGH FLOW,21767.26
VP222F-250CQH-0,SmartX PIBCV DN250 - HIGH FLOW,21767.26
VP222F-250CQS,SMARTX PIBCV DN250 - STD FLOW,18864.94
VP222F-250CQS-0,SmartX PIBCV DN250 - STD FLOW,18864.94
VP229E-25BQS-0,SmartX PIBCV DN25-STD FLOW+PT,240.34
VP229E-25BQS,SMARTX PIBCV DN25-STD FLOW+PT,252.33
VP229E-32BQHNT,SMARTX PIBCV DN32 - HIGH FLOW,671.18
VP229E-32BQHNT-0,SmartX PIBCV DN32 - HIGH FLOW,671.18
VP229E-32BQSNT,SMARTX PIBCV DN32 - STD FLOW,351.77
VP229E-32BQSNT-0,SmartX PIBCV DN32 - STD FLOW,351.77
VP229E-32BQS-0,SmartX PIBCV DN32-STD FLOW+PT,383.21
VP229E-32BQS,SMARTX PIBCV DN32-STD FLOW+PT,402.39
VP220E-40CQS,SMARTX PIBCV DN40 - STD FLOW,1053.92
VP220E-40CQS-0,SmartX PIBCV DN40 - STD FLOW,1053.92
VP220E-50CQS,SMARTX PIBCV DN50 - STD FLOW,1129.43
VP220E-50CQS-0,SmartX PIBCV DN50 - STD FLOW,1129.43
VP220F-50CQS,SMARTX PIBCV DN50- STD FLOW,1767.9
VP220F-50CQS-0,SmartX PIBCV DN50- STD FLOW,1767.9
VP220F-65CQH-0,SmartX PIBCV DN65 - HIGH FLOW,2667.42
VP220F-65CQS,SMARTX PIBCV DN65 - STD FLOW,2478.78
VP220F-65CQS-0,SmartX PIBCV DN65 - STD FLOW,2478.78
VP220F-80CQH-0,SmartX PIBCV DN80 - HIGH FLOW,3224.96
VP220F-80CQS,SMARTX PIBCV DN80 - STD FLOW,2912.61
VP220F-80CQS-0,SmartX PIBCV DN80 - STD FLOW,2912.61
SXWUSBCBL10002,SmartX Plenum Rated USB Extension Cable,67.37
SXWUSBCRA10001,SmartX USB Adapter Cradle,48.97
SXWUSBCBL10001,SmartX USB Extension Cable,33.17
SXWZBAUSB10001,SmartX Zigbee Adapter,153.01
6553034000,Smoke detector UG-3-A4O,640.58
6553039000,Smoke Sensor UG-Cover,686.6
6553014000,Smokedetector EVC-PY-DA,243.88
6553036000,Smokedetector UG-3-A5O,462.84
6553028000,Smokedetector UG-3-O,299.1
SXWASPSBX10002,SpaceLogic AS-P-NLS,650.09
SXWASPSBX10001,SpaceLogic AS-P-S,715.1
SXWADBUND10013,SpaceLogic Controller AD V3 refresh,2152.84
SXWASB24PX10001,SpaceLogic Controller AS-B 24 Scalable,717.42
SXWASB24HP10001,SpaceLogic Controller AS-B 24H Scalable,1072.66
SXWASB36PX10001,SpaceLogic Controller AS-B 36 Scalable,965.41
SXWASB36HP10001,SpaceLogic Controller AS-B 36H Scalable,1608.92
SXWASPSBX1S001,SpaceLogic Controller AS-P Smoke Secure,1101.38
SXWREISBLE10001,SpaceLogic Insight-Sensor,637.14
TC907-3A4DPSA,"SpaceLogic,Thermostat",175.37
SXWMPCCON10001,SPARE SCREW TERMINAL FOR MP-C,80.35
SXWMPVCON10001,SPARE SCREW TERMINAL FOR MP-V,64.5
4700340,SPD310-1000/1200/2500/5000Pa,226.75
9141062000,Spindle clamp revers K-MD10,74.34
MD20SR-TS,SPRING RETURN DAMPER ACTUATOR MD20SR-TS,406.95
MP300-SRD-0,SR Close actuator-multi signal,338.33
MP2000-SRD-0,SR Close multi-signal act. 24V,2292.9
MP2000-SRD,SR CLOSE MULTI-SIGNAL ACT. 24V,2453.42
MP2000-SRD-230,SR CLOSE MULTI-SIGNAL ACT.230V,2292.9
MP2000-SRD-230-0,SR Close multi-signal act.230V,2292.9
MP300-SRU-0,SR Open actuator-multi signal,288.11
MP300-SRU,SR OPEN ACTUATOR-MULTI SIGNAL,315.63
MP2000-SRU-230-0,SR Open milti-signal act. 230V,2292.9
MP2000-SRU-230,SR OPEN MULTI-SIGNAL ACT. 230V,2292.9
MP2000-SRU,SR OPEN MULTI-SIGNAL ACT. 24V,2292.9
MP2000-SRU-0,SR Open multi-signal act. 24V,2292.9
AV-823,Steam extension: VG210_/VG310_,19.76
8800111000,Stem Heater - V321 DN125-150,1130.34
8800110000,Stem Heater - V321 DN65-100,1130.34
5127040000,STT900 Frost Stat A 0 6m,151.83
5127010000,STT901 Frost Stat A 1 8m,133.71
5127020000,STT902 Frost Stat A 3m,128.14
5127000000,STT903 Frost Stat A 6m,141.69
5127030000,STT904 Frost Stat A 12m,184.56
5127060000,STT911 Frost Stat M 1 8m,173.01
5127070000,STT912 FROST STAT M 3M,162.62
5127050000,STT913 FROST STAT M 6M,179.45
100108110,Stuffing box VG211 Spare,129.76
100108100,Stuffing box VG222/VG321 Spare,51.68
4701080,Swich Pres Air SPD910-1000Pa,52.21
4701090,Swich Pres Air SPD910-2000Pa,48.79
4701060,Swich Pres Air SPD910-300Pa,52.21
4701070,Swich Pres Air SPD910-500Pa,52.21
9141060000,Switch aux MD-S1,75.72
9141061000,Switch aux MD-S2,119.11
SXWTBASW110002,TB-ASP-W1 TERM BASE ASP W1,87.53
SXWTBIOW110001,TB-IO-W1 TERM BASE I/O W1,70.11
